point_num,distance,LOS,LoRa_obstruction(%),LoRa_rssi_iqr,LoRa_rssi_mean,LoRa_snr_iqr,LoRa_snr_mean,LoRa_put,
point 1,70,1,0,6,-102.78,3.5,3.46,730.6612588,
point 2,120,1,0,3,-121.86,2.3,-8.756,569.1041572,
point 3,170,0,1,2,-77.09,2.05,9.447,584.794421,
point 4,210,0,1,5,-83.62,2.2,8.701,654.4189814,
point 5,240,0,0.7,9,-109.67,5.95,-0.591919,619.6067012,
point 6,250,0,1,2,-69.62,2.35,9.646,619.6067012,
point 7,260,1,0,7,-87.51,2.075,7.99,619.6067012,
point 9,350,0,0.55,2.5,-91.08,2,8.153,619.6067012,
point 10,400,0,0.7,5.25,-91.08,2.5,7.6,600.4846848,
point 11,450,0,0.9,24,-99.32,8.3,3.235354,619.6067012,
point 13,500,1,0,3.25,-77.58,2.2,9.402,619.6067012,
point 18,700,0,1,7,-97.71,2.7,5.910101,709.9462602,
point 19,1400,1,0,8,-113.75,7,-3.428283,595.45995,
point 20,2200,0,0.5,6,-120.48,6,-7.45,579.7696862,
point 24,3850,0,0.9,7,-118.29,7,-6.428283,569.1041572,
point 25,5150,0,1,4,-124.7,4,-11.104,564.0794224,
point 26,6700,0,0.95,5,-122.24,5,-9.299,589.8191558,